equipment_category,severity,n_records
BUS,CRITICAL,1
BUS,HIGH,4
BUS,MEDIUM,10
BUS,NORMAL,1073
ELF,CRITICAL,2
ELF,HIGH,1
ELF,LOW,5
ELF,MEDIUM,16
ELF,NORMAL,1064
HEAD_TRUCK,CRITICAL,407
HEAD_TRUCK,HIGH,602
HEAD_TRUCK,INSUFFICIENT_DATA,18
HEAD_TRUCK,LOW,3287
HEAD_TRUCK,MEDIUM,1329
HEAD_TRUCK,NORMAL,37532
KEND_OPS,CRITICAL,50
KEND_OPS,HIGH,45
KEND_OPS,INSUFFICIENT_DATA,259
KEND_OPS,LOW,222
KEND_OPS,MEDIUM,92
KEND_OPS,NORMAL,2934
MODUL,INSUFFICIENT_DATA,13
MODUL,NORMAL,426
RTGC,CRITICAL,157
RTGC,HIGH,288
RTGC,INSUFFICIENT_DATA,8
RTGC,LOW,1382
RTGC,MEDIUM,546
RTGC,NORMAL,19586
SUPPORT,CRITICAL,48
SUPPORT,HIGH,39
SUPPORT,INSUFFICIENT_DATA,38
SUPPORT,LOW,128
SUPPORT,MEDIUM,65
SUPPORT,NORMAL,1359
