equipment_id,equipment_category,change_date,before_mean,after_mean,absolute_change,percentage_change,change_direction,confidence,review_status
B 7697 TK,BUS,2025-08-21,49.1,48.9,-0.1,0.2,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
B 7963 TAA,BUS,2025-07-12,48.1,49.1,0.9,1.9,MINOR_SHIFT,LOW,PENDING_REVIEW
B 7987 TAA,BUS,2025-07-22,48.4,49.4,0.9,2.0,VOLATILITY_DECREASE,LOW,PENDING_REVIEW
B 7156 TAB,ELF,2025-03-02,34.2,36.8,2.5,7.4,MINOR_SHIFT,LOW,PENDING_REVIEW
B 7157 TAB,ELF,2025-06-12,35.0,37.2,2.2,6.2,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
B 7161 TAB,ELF,2025-06-12,35.0,37.4,2.5,7.0,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
104,HEAD_TRUCK,2025-03-09,67.0,98.7,31.8,47.5,INCREASE,HIGH,PENDING_REVIEW
128,HEAD_TRUCK,2025-11-12,75.9,83.2,7.3,9.7,MINOR_SHIFT,LOW,PENDING_REVIEW
131,HEAD_TRUCK,2025-06-17,70.1,79.8,9.8,13.9,MINOR_SHIFT,LOW,PENDING_REVIEW
133,HEAD_TRUCK,2025-05-16,71.3,79.4,8.1,11.4,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
134,HEAD_TRUCK,2026-01-09,80.1,92.3,12.2,15.2,INCREASE,MEDIUM,PENDING_REVIEW
140,HEAD_TRUCK,2025-05-12,66.4,75.9,9.4,14.2,MINOR_SHIFT,LOW,PENDING_REVIEW
141,HEAD_TRUCK,2026-04-04,79.0,89.4,10.4,13.1,MINOR_SHIFT,LOW,PENDING_REVIEW
143,HEAD_TRUCK,2025-07-07,74.7,85.5,10.8,14.5,MINOR_SHIFT,LOW,PENDING_REVIEW
144,HEAD_TRUCK,2025-07-06,69.2,76.7,7.4,10.7,VOLATILITY_INCREASE,MEDIUM,PENDING_REVIEW
149,HEAD_TRUCK,2025-08-21,75.9,89.5,13.6,17.9,INCREASE,MEDIUM,PENDING_REVIEW
149,HEAD_TRUCK,2026-04-06,89.5,77.8,-11.7,13.0,MINOR_SHIFT,LOW,PENDING_REVIEW
150,HEAD_TRUCK,2026-01-21,83.2,97.4,14.2,17.1,INCREASE,MEDIUM,PENDING_REVIEW
150,HEAD_TRUCK,2026-03-25,97.4,79.9,-17.5,18.0,DECREASE,MEDIUM,PENDING_REVIEW
151,HEAD_TRUCK,2025-05-05,70.0,80.9,10.9,15.5,INCREASE,MEDIUM,PENDING_REVIEW
157,HEAD_TRUCK,2026-01-23,69.4,79.3,9.9,14.2,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
158,HEAD_TRUCK,2025-07-04,69.2,78.3,9.1,13.2,MINOR_SHIFT,LOW,PENDING_REVIEW
158,HEAD_TRUCK,2026-04-15,78.3,86.7,8.4,10.7,MINOR_SHIFT,LOW,PENDING_REVIEW
159,HEAD_TRUCK,2025-12-03,69.1,81.7,12.5,18.1,INCREASE,MEDIUM,PENDING_REVIEW
162,HEAD_TRUCK,2025-01-11,97.2,69.0,-28.2,29.0,DECREASE,MEDIUM,PENDING_REVIEW
162,HEAD_TRUCK,2025-05-11,69.0,76.1,7.1,10.3,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
165,HEAD_TRUCK,2025-10-22,71.4,79.6,8.2,11.5,MINOR_SHIFT,LOW,PENDING_REVIEW
166,HEAD_TRUCK,2025-05-06,66.8,72.4,5.6,8.3,MINOR_SHIFT,LOW,PENDING_REVIEW
167,HEAD_TRUCK,2025-05-03,69.6,82.3,12.7,18.2,INCREASE,MEDIUM,PENDING_REVIEW
168,HEAD_TRUCK,2025-11-08,69.7,77.6,7.9,11.4,MINOR_SHIFT,LOW,PENDING_REVIEW
176,HEAD_TRUCK,2025-05-20,81.5,91.5,10.0,12.3,MINOR_SHIFT,LOW,PENDING_REVIEW
177,HEAD_TRUCK,2026-01-10,59.1,73.0,13.9,23.5,INCREASE,MEDIUM,PENDING_REVIEW
178,HEAD_TRUCK,2025-08-27,57.3,78.0,20.6,36.0,INCREASE,MEDIUM,PENDING_REVIEW
179,HEAD_TRUCK,2025-10-31,67.9,81.9,13.9,20.5,INCREASE,MEDIUM,PENDING_REVIEW
181,HEAD_TRUCK,2025-05-12,46.8,65.0,18.1,38.7,INCREASE,MEDIUM,PENDING_REVIEW
181,HEAD_TRUCK,2025-08-30,65.0,79.8,14.8,22.8,INCREASE,MEDIUM,PENDING_REVIEW
182,HEAD_TRUCK,2025-05-03,70.0,78.6,8.6,12.3,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
183,HEAD_TRUCK,2026-02-14,62.7,76.1,13.4,21.4,INCREASE,MEDIUM,PENDING_REVIEW
184,HEAD_TRUCK,2025-06-29,69.8,89.9,20.1,28.8,INCREASE,MEDIUM,PENDING_REVIEW
184,HEAD_TRUCK,2026-02-14,89.9,68.3,-21.6,24.1,DECREASE,MEDIUM,PENDING_REVIEW
185,HEAD_TRUCK,2026-01-07,62.5,69.6,7.1,11.3,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
191,HEAD_TRUCK,2025-11-22,68.2,79.7,11.5,16.9,INCREASE,MEDIUM,PENDING_REVIEW
192,HEAD_TRUCK,2025-02-17,70.6,59.1,-11.4,16.2,DECREASE,MEDIUM,PENDING_REVIEW
192,HEAD_TRUCK,2025-06-10,59.1,76.1,17.0,28.7,INCREASE,MEDIUM,PENDING_REVIEW
192,HEAD_TRUCK,2025-12-15,76.1,64.4,-11.7,15.4,DECREASE,MEDIUM,PENDING_REVIEW
192,HEAD_TRUCK,2026-04-22,64.4,77.7,13.3,20.6,INCREASE,MEDIUM,PENDING_REVIEW
193,HEAD_TRUCK,2025-12-15,67.5,81.6,14.1,20.9,INCREASE,MEDIUM,PENDING_REVIEW
194,HEAD_TRUCK,2025-12-03,67.5,76.9,9.5,14.0,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
195,HEAD_TRUCK,2025-05-08,68.2,77.2,9.0,13.1,MINOR_SHIFT,LOW,PENDING_REVIEW
195,HEAD_TRUCK,2025-08-26,77.2,89.1,11.9,15.4,INCREASE,MEDIUM,PENDING_REVIEW
195,HEAD_TRUCK,2026-02-14,89.1,81.5,-7.6,8.5,MINOR_SHIFT,LOW,PENDING_REVIEW
197,HEAD_TRUCK,2025-06-06,67.3,70.8,3.5,5.2,MINOR_SHIFT,LOW,PENDING_REVIEW
200,HEAD_TRUCK,2025-03-29,74.7,82.5,7.8,10.4,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
201,HEAD_TRUCK,2025-10-19,68.3,75.6,7.4,10.8,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
203,HEAD_TRUCK,2026-03-11,83.1,73.2,-9.9,12.0,MINOR_SHIFT,LOW,PENDING_REVIEW
204,HEAD_TRUCK,2025-10-31,73.5,73.3,-0.2,0.3,VOLATILITY_DECREASE,LOW,PENDING_REVIEW
206,HEAD_TRUCK,2025-10-07,72.5,80.1,7.7,10.6,MINOR_SHIFT,LOW,PENDING_REVIEW
207,HEAD_TRUCK,2025-09-15,77.0,78.5,1.5,1.9,VOLATILITY_DECREASE,LOW,PENDING_REVIEW
208,HEAD_TRUCK,2025-10-20,67.5,71.0,3.5,5.2,MINOR_SHIFT,LOW,PENDING_REVIEW
