equipment_id,equipment_category,cluster_id,cluster_label,cluster_characteristics,silhouette_score,mean_daily_fuel,median_daily_fuel,standard_deviation,coefficient_of_variation,maximum_daily_fuel,zero_day_ratio,anomaly_ratio,monthly_growth,active_day_ratio
B 7987 TAA,BUS,-1,HIGH_STABLE,"mean~49L, CV~0.07, active_ratio~0.99, growth~0.6%/bulan",,48.84316804407713,50.0,3.184644986914183,0.06520144197117374,59.26,0.0,0.011019283746556474,0.5603021197432303,0.9945205479452055
B 7697 TK,BUS,-1,HIGH_VOLATILE,"mean~49L, CV~0.07, active_ratio~0.99, growth~0.2%/bulan",,49.03078313253012,50.03,3.4328794060191683,0.07001477820046442,56.0,0.0,0.015060240963855422,0.24441247261678545,0.9940119760479041
B 7963 TAA,BUS,-1,LOW_VOLATILE,"mean~49L, CV~0.09, active_ratio~0.99, growth~0.4%/bulan",,48.577182320441985,50.0,4.130383040451576,0.08502722560574393,53.11,0.0027624309392265192,0.016574585635359115,0.3526873571354814,0.9945054945054945
B 7156 TAB,ELF,-1,HIGH_VOLATILE,"mean~36L, CV~0.12, active_ratio~0.99, growth~0.9%/bulan",,36.33265060240964,36.55,4.437618392946779,0.1221385811210941,63.0,0.0,0.03614457831325301,0.8671960233584592,0.9940119760479041
B 7161 TAB,ELF,-1,HIGH_VOLATILE,"mean~36L, CV~0.12, active_ratio~0.99, growth~1.0%/bulan",,36.25689759036144,36.535,4.305314394770602,0.11874469910285788,50.0,0.0,0.02108433734939759,1.049621634105353,0.9940119760479041
B 7157 TAB,ELF,-1,LOW_STABLE,"mean~36L, CV~0.10, active_ratio~0.99, growth~1.0%/bulan",,36.13530120481928,35.89,3.770013691256892,0.10433049028394688,46.0,0.0,0.009036144578313253,1.0451515889078224,0.9940119760479041
104,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,95.34042666666667,100.65,27.94665076752993,0.2931248762420397,204.19,0.0,0.14933333333333335,0.3871593462021634,0.8099352051835853
118,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,82.67795454545454,89.19,29.52845829377464,0.35715032448632406,137.32,0.0,0.18181818181818182,-4.364327731900927,0.0831758034026465
128,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,79.24064128256514,79.67,20.378350440018536,0.2571704381764294,163.78,0.0,0.11222444889779559,0.6322285582487862,0.8831858407079646
131,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,76.78228070175439,76.56,18.464779323141197,0.24048229818627018,153.09,0.0,0.13255360623781676,-0.06654935903506456,0.9063604240282686
132,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,79.46244161358811,80.5,19.015036272680913,0.23929589736428805,189.25,0.0,0.12951167728237792,1.2921325648645972,0.8321554770318021
133,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,77.51035294117646,77.055,18.601438688707006,0.23998650480696251,158.66,0.0,0.13725490196078433,0.682454901238577,0.901060070671378
134,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,84.32298311444653,84.61,20.00876376397343,0.23728719057314107,213.52,0.0,0.11444652908067542,0.5443778556274811,0.941696113074205
135,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,83.18770297029702,85.04,21.61220501076814,0.25980047818467816,174.4,0.0,0.12673267326732673,0.10948638400715585,0.892226148409894
136,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,72.7727205882353,74.235,16.433192512640776,0.22581528325185943,159.38,0.0,0.11397058823529412,-0.19844385235121367,0.9611307420494699
137,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,84.07309297912713,84.09,17.723226455830403,0.21080735616840646,159.0,0.0,0.10436432637571158,-0.20797616242485703,0.931095406360424
138,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,79.51268101761254,80.49,17.47218173448172,0.21974082009147103,154.38,0.0,0.11741682974559686,0.9925455895969023,0.9028268551236749
139,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,74.17657196969698,76.13,17.88637623527262,0.24113241904168423,131.0,0.0,0.10984848484848485,0.7884663684259376,0.9328621908127208
140,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,73.71925996204934,73.84,17.051789264822343,0.2313071139563881,148.18,0.0,0.11195445920303605,0.526731196828144,0.931095406360424
141,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,81.03332699619772,83.005,19.942199423894884,0.24609873694104428,128.38,0.0,0.11026615969581749,0.44747740664995556,0.9293286219081273
142,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,76.25219330855019,77.27,18.237436573147622,0.23917261631217435,133.86,0.0,0.13568773234200743,0.32606533592305653,0.950530035335689
143,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,82.13387475538161,83.43,18.54270107066518,0.22576191767271053,149.59,0.0,0.1095890410958904,0.6385522562205121,0.9028268551236749
144,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,74.20623246492987,74.92,18.421043270530777,0.2482411875476447,211.68,0.0,0.12424849699398798,0.15673249181067656,0.8816254416961131
145,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,79.22226305609286,80.0,21.536261203208838,0.2718460742273951,161.96,0.0,0.16247582205029013,0.5061537563806349,0.9134275618374559
146,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,71.99483870967742,70.64,16.997246810995208,0.23608979637467353,120.37,0.0,0.11290322580645161,-28.334020359882416,0.7469879518072289
147,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,85.7899209486166,85.99000000000001,25.470825990285476,0.2968976507804581,277.78,0.0,0.15810276679841898,0.09581883004643117,0.9068100358422939
148,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,78.46000000000001,79.42,23.63236120458335,0.3012026663852071,233.97,0.0,0.17494600431965443,-0.8413361088645417,0.8180212014134276
149,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,81.11271805273833,80.0,19.354959846146762,0.23861806521589432,174.93,0.0,0.10953346855983773,0.5951433955586114,0.8710247349823321
150,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,84.26938976377953,85.58500000000001,19.928323678542036,0.23648354087295861,160.53,0.0,0.11614173228346457,-0.6808997049286158,0.8975265017667845
151,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,78.52744597249509,79.2,19.50226359160356,0.24834964833103568,191.75,0.0,0.14145383104125736,1.0832355319648026,0.8992932862190812
152,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,78.85948087431694,79.625,19.769633265586826,0.2506944383402025,186.63,0.0,0.14207650273224043,0.9737786290740461,0.6466431095406361
153,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,74.09420475319926,74.76,15.891984567588192,0.21448350273173022,134.07,0.0,0.10237659963436929,0.17863271545462986,0.9664310954063604
154,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,80.4950406504065,81.39500000000001,17.80751645112825,0.22122501345725235,143.33,0.0,0.12398373983739837,0.8531935007862905,0.8692579505300353
155,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,85.46245652173914,85.41499999999999,19.3554625957785,0.22647912760213065,160.46,0.0,0.11521739130434783,0.9557565704544028,0.8127208480565371
156,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,77.60681017612525,78.31,19.725364376991177,0.25417053390321453,175.79,0.0,0.12720156555772993,-0.28971707784167333,0.9028268551236749
157,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,72.41244186046512,72.5,17.718910271520794,0.2446942792740532,193.95,0.0,0.13178294573643412,0.08733527062800113,0.911660777385159
158,HEAD_TRUCK,0,HOMOGENEOUS,"mean~77L, CV~0.31, active_ratio~0.84, growth~-0.5%/bulan",,76.80586466165414,76.99000000000001,17.343659326585033,0.22581165387548818,160.52,0.0,0.09022556390977443,1.1737009692111782,0.9399293286219081
