equipment_id,equipment_category,average_daily_fuel,median_daily_fuel,fuel_volatility,trend_percentage,anomaly_count,critical_anomaly_count,last_change_point,data_completeness,n_observations,anomaly_penalty,volatility_penalty,trend_penalty,change_point_penalty,missing_data_penalty,reconciliation_penalty,forecast_error_penalty,repeated_critical_penalty,health_score,health_status,recommended_action
SL 03,SUPPORT,31.919872881355932,0.0,1.3081422885739438,46.26954963908357,39,26,2025-10-02,0.0,236,12.711864406779661,100.0,92.53909927816714,100.0,100.0,15.0,84.26666666666667,100.0,27.9,CRITICAL,Koordinasikan inspeksi alat (anomali kritis berulang)
B 9621 TVC,KEND_OPS,10.251774193548387,0.0,1.4957747365686247,133.9164696611506,20,17,2026-06-19,100.0,124,14.717741935483872,97.84946236559139,100.0,100.0,0.0,7.368421052631579,84.26666666666667,100.0,37.4,CRITICAL,Koordinasikan inspeksi alat (anomali kritis berulang)
177,HEAD_TRUCK,63.95594164456233,65.05,0.34874095370014857,22.592017367239862,60,5,2026-01-10,0.0,377,7.427055702917771,91.75257731958763,45.184034734479724,60.0,100.0,6.315789473684211,84.26666666666667,100.0,44.1,CRITICAL,Koordinasikan inspeksi alat (anomali kritis berulang)
181,HEAD_TRUCK,74.17495098039215,76.305,0.3437542563464482,18.091030224502003,72,11,2025-08-30,59.5,408,8.272058823529411,90.72164948453609,36.182060449004005,100.0,40.476190476190474,6.315789473684211,84.26666666666667,100.0,45.4,CRITICAL,Koordinasikan inspeksi alat (anomali kritis berulang)
178,HEAD_TRUCK,72.20578680203045,73.955,0.33273943670443634,21.031368045833045,57,6,2025-08-27,23.8,394,6.472081218274112,89.69072164948454,42.06273609166609,60.0,76.19047619047619,6.315789473684211,84.26666666666667,100.0,47.5,CRITICAL,Koordinasikan inspeksi alat (anomali kritis berulang)
184,HEAD_TRUCK,77.09270707070706,77.55,0.29320880501808066,5.807470207237957,77,3,2026-02-14,38.1,495,5.909090909090909,79.38144329896907,11.614940414475914,84.0,61.904761904761905,6.315789473684211,84.26666666666667,100.0,51.5,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
B 9080 VE,KEND_OPS,51.79954545454545,60.0,0.4255070545951005,36.30199477460289,10,5,,50.0,44,16.477272727272727,94.6236559139785,72.60398954920578,0.0,50.0,7.368421052631579,84.26666666666667,100.0,51.7,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
104,HEAD_TRUCK,95.34042666666667,100.65,0.2931248762420397,14.681067399160034,56,3,2025-03-09,100.0,375,7.000000000000001,78.35051546391753,29.362134798320067,100.0,0.0,6.315789473684211,84.26666666666667,100.0,52.6,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
192,HEAD_TRUCK,69.98387351778655,71.17,0.303778012644955,6.865038820959766,82,9,2026-04-22,100.0,506,8.053359683794467,85.56701030927834,13.730077641919532,100.0,0.0,6.315789473684211,84.26666666666667,100.0,53.6,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
B 9801 BAZ,KEND_OPS,31.03686274509804,31.66,0.19966529202038266,32.91812639363887,3,0,2025-08-11,0.0,51,2.450980392156863,38.70967741935484,65.83625278727774,100.0,100.0,7.368421052631579,84.26666666666667,0.0,53.9,REVIEW,Bandingkan dengan hour meter dan log operasi (perubahan pola menetap terdeteksi)
B 9586 BAY,KEND_OPS,26.2948,24.58,0.2756412646220202,17.324375058845693,12,0,2025-09-01,0.0,75,5.0,65.59139784946237,34.648750117691385,100.0,100.0,7.368421052631579,84.26666666666667,0.0,54.0,REVIEW,Bandingkan dengan hour meter dan log operasi (perubahan pola menetap terdeteksi)
83,HEAD_TRUCK,94.49028571428572,96.09,0.2972979241301601,16.74222350989799,50,3,2025-06-27,66.7,385,5.51948051948052,81.44329896907216,33.48444701979598,60.0,33.33333333333333,6.315789473684211,84.26666666666667,100.0,54.5,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
FRK 11A,SUPPORT,45.78875,52.385,0.6350623167853596,67.4967138892946,0,0,,0.0,8,0.0,95.83333333333334,100.0,0.0,100.0,15.0,84.26666666666667,0.0,54.9,INSUFFICIENT_DATA,Kumpulkan lebih banyak data sebelum dievaluasi
179,HEAD_TRUCK,74.8655241935484,77.29499999999999,0.3145464336603493,20.5827667281685,81,11,2025-10-31,100.0,496,7.913306451612903,87.62886597938144,41.165533456337,60.0,0.0,6.315789473684211,84.26666666666667,100.0,55.3,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
109,HEAD_TRUCK,54.419999999999995,58.595,0.4020813632445368,68.56390853758842,0,0,,0.0,6,0.0,95.87628865979381,100.0,0.0,100.0,6.315789473684211,84.26666666666667,0.0,55.8,INSUFFICIENT_DATA,Kumpulkan lebih banyak data sebelum dievaluasi
B 9428 UAT,KEND_OPS,23.568057324840765,21.685000000000002,0.3322875961046453,18.930960319268173,46,4,2026-04-09,100.0,314,7.643312101910828,78.49462365591397,37.86192063853635,66.0,0.0,7.368421052631579,84.26666666666667,100.0,56.2,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
93,HEAD_TRUCK,72.67408653846154,73.405,0.44998253205131455,7.903839620837968,36,3,,0.0,208,9.014423076923077,97.9381443298969,15.807679241675936,0.0,100.0,6.315789473684211,84.26666666666667,100.0,56.3,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
49,RTGC,269.4876965265082,275.1,0.2485036041211122,10.65945834004389,61,11,2026-03-22,100.0,547,5.393053016453382,74.0,21.31891668008778,90.0,0.0,6.315789473684211,84.26666666666667,100.0,56.3,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
183,HEAD_TRUCK,66.7192,70.41499999999999,0.3600401320762481,12.359943952825308,63,7,2026-02-14,100.0,450,6.5,94.84536082474226,24.719887905650616,60.0,0.0,6.315789473684211,84.26666666666667,100.0,56.9,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
172,HEAD_TRUCK,72.51137254901961,65.645,0.6123984615748373,20.477492167494905,19,3,,50.0,102,10.784313725490197,98.96907216494846,40.95498433498981,0.0,50.0,6.315789473684211,84.26666666666667,100.0,57.0,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
B 8964 CY,KEND_OPS,34.95375,32.855000000000004,0.3619003900953034,57.65226204736017,0,0,,0.0,8,0.0,86.02150537634408,100.0,0.0,100.0,7.368421052631579,84.26666666666667,0.0,57.1,INSUFFICIENT_DATA,Kumpulkan lebih banyak data sebelum dievaluasi
45,RTGC,305.29166252587993,321.0,0.2668645902419025,3.760951242624888,61,11,2025-12-15,100.0,483,6.055900621118012,84.0,7.521902485249776,84.0,0.0,6.315789473684211,84.26666666666667,100.0,57.6,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
150,HEAD_TRUCK,84.26938976377953,85.58500000000001,0.23648354087295861,7.712346819552772,59,5,2026-03-25,28.6,508,4.625984251968504,24.742268041237114,15.424693639105543,84.0,71.42857142857143,6.315789473684211,84.26666666666667,100.0,58.5,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
159,HEAD_TRUCK,74.13128256513026,75.0,0.25241552541411516,15.476585701584852,60,3,2025-12-03,61.9,499,4.509018036072145,51.546391752577314,30.953171403169705,60.0,38.095238095238095,6.315789473684211,84.26666666666667,100.0,59.1,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
23,HEAD_TRUCK,4.662793296089386,0.0,4.124901165171214,-44.35762836710147,8,8,,0.0,358,2.2346368715083798,100.0,0.0,0.0,100.0,6.315789473684211,84.26666666666667,100.0,59.7,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
195,HEAD_TRUCK,80.03227188081937,80.12,0.26098312666174245,15.317626030026346,64,8,2026-02-14,100.0,537,5.679702048417132,59.79381443298969,30.635252060052693,72.0,0.0,6.315789473684211,84.26666666666667,100.0,59.7,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
167,HEAD_TRUCK,79.53609375,80.0,0.2882998848976689,11.62428375882537,82,3,2025-05-03,100.0,512,5.859375,77.31958762886599,23.24856751765074,60.0,0.0,6.315789473684211,84.26666666666667,100.0,59.9,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
193,HEAD_TRUCK,72.95709302325581,72.685,0.2707531338019467,16.717709827689077,63,9,2025-12-15,100.0,516,6.395348837209303,64.94845360824742,33.435419655378155,60.0,0.0,6.315789473684211,84.26666666666667,100.0,60.1,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
50,RTGC,263.14244701348747,257.8,0.29640056442942864,8.251346008400045,77,7,2025-07-18,100.0,519,6.358381502890173,92.0,16.50269201680009,48.0,0.0,6.315789473684211,84.26666666666667,100.0,60.4,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
176,HEAD_TRUCK,87.17158490566038,88.12,0.2670941234663155,9.212990341341161,41,4,2025-05-20,0.0,265,6.415094339622642,63.91752577319587,18.425980682682322,6.0,100.0,6.315789473684211,84.26666666666667,100.0,60.6,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
B 1975 HKN,KEND_OPS,6.9659130434782615,0.0,1.9236722005905178,-79.34058554998784,4,4,2025-08-04,47.6,115,3.4782608695652173,98.9247311827957,0.0,24.0,52.38095238095239,7.368421052631579,84.26666666666667,100.0,60.7,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
62,RTGC,240.29215476190475,231.6,0.25375660146255014,7.222133627179907,74,2,2026-03-20,100.0,504,6.597222222222222,78.0,14.444267254359813,84.0,0.0,6.315789473684211,84.26666666666667,66.66666666666666,60.7,REVIEW,Bandingkan dengan hour meter dan log operasi (perubahan pola menetap terdeteksi)
149,HEAD_TRUCK,81.11271805273833,80.0,0.23861806521589432,9.551428862476882,54,2,2026-04-06,0.0,493,4.36105476673428,26.804123711340207,19.102857724953765,66.0,100.0,6.315789473684211,84.26666666666667,66.66666666666666,60.8,REVIEW,Bandingkan dengan hour meter dan log operasi (perubahan pola menetap terdeteksi)
B 9594 BAY,KEND_OPS,29.26691358024691,28.8,0.2668517887275357,16.049191377091844,11,0,2025-09-01,0.0,81,4.938271604938271,62.365591397849464,32.09838275418369,60.0,100.0,7.368421052631579,84.26666666666667,0.0,60.9,REVIEW,Bandingkan dengan hour meter dan log operasi (perubahan pola menetap terdeteksi)
200,HEAD_TRUCK,79.55230088495576,81.69,0.24685527249318157,9.867207672445565,26,3,2025-03-29,0.0,226,4.867256637168142,43.29896907216495,19.73441534489113,24.0,100.0,6.315789473684211,84.26666666666667,100.0,61.1,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
174,HEAD_TRUCK,67.46743718592965,69.27000000000001,0.2857123560344336,2.64788209430675,57,4,,0.0,398,6.721105527638191,74.22680412371135,5.2957641886135,0.0,100.0,6.315789473684211,84.26666666666667,100.0,61.9,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
191,HEAD_TRUCK,73.50368737474949,74.84,0.288095533690218,15.778296282015663,70,2,2025-11-22,100.0,499,5.3607214428857715,76.28865979381443,31.556592564031327,60.0,0.0,6.315789473684211,84.26666666666667,66.66666666666666,62.2,REVIEW,Bandingkan dengan hour meter dan log operasi (perubahan pola menetap terdeteksi)
148,HEAD_TRUCK,78.46000000000001,79.42,0.3012026663852071,3.0958382617694387,81,3,,23.8,463,7.127429805615551,84.5360824742268,6.191676523538877,0.0,76.19047619047619,6.315789473684211,84.26666666666667,100.0,62.5,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
144,HEAD_TRUCK,74.20623246492987,74.92,0.2482411875476447,10.154120686782052,62,6,2025-07-06,54.8,499,5.460921843687375,44.329896907216494,20.308241373564105,48.0,45.23809523809524,6.315789473684211,84.26666666666667,100.0,62.6,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
208,HEAD_TRUCK,69.12656063618292,69.46,0.27164278927685337,4.028522161820356,69,3,2025-10-20,9.5,503,5.019880715705765,67.0103092783505,8.057044323640712,6.0,90.47619047619048,6.315789473684211,84.26666666666667,100.0,62.9,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
39,RTGC,316.81050139275766,350.0,0.26048786680637354,-6.760263950573956,52,4,2026-03-20,100.0,359,5.919220055710307,82.0,0.0,57.0,0.0,6.315789473684211,84.26666666666667,100.0,63.1,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
B 8940 CY,KEND_OPS,4.88891156462585,0.0,2.518302046753112,-72.20475929031458,16,16,,54.8,147,10.884353741496598,100.0,0.0,0.0,45.23809523809524,7.368421052631579,84.26666666666667,100.0,63.3,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
37,RTGC,305.98638225255974,341.4,0.30672889385138896,-7.583721397949607,41,6,2026-03-19,100.0,293,7.337883959044368,94.0,0.0,42.0,0.0,6.315789473684211,84.26666666666667,100.0,63.3,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
52,RTGC,229.6787814313346,215.0,0.2954810690767609,2.310781974722989,92,1,2026-03-17,100.0,517,8.220502901353965,90.0,4.621563949445978,84.0,0.0,6.315789473684211,84.26666666666667,33.33333333333333,63.4,REVIEW,Bandingkan dengan hour meter dan log operasi (perubahan pola menetap terdeteksi)
B 9118 SO,KEND_OPS,62.39666666666667,66.03999999999999,0.3239306267520428,34.26569050747761,0,0,,0.0,12,0.0,75.26881720430107,68.53138101495522,0.0,100.0,7.368421052631579,84.26666666666667,0.0,63.5,REVIEW,Cek kemungkinan duplikasi transaksi / konfirmasi status alat
B 9582 BAY,KEND_OPS,28.002857142857142,31.31,0.31402264159420196,35.26172768878721,0,0,,0.0,7,0.0,73.11827956989248,70.52345537757442,0.0,100.0,7.368421052631579,84.26666666666667,0.0,63.5,INSUFFICIENT_DATA,Kumpulkan lebih banyak data sebelum dievaluasi
47,RTGC,318.5158285714286,327.97,0.2085368770792241,-10.1692399326434,48,7,2026-03-24,100.0,525,3.9047619047619047,38.0,0.0,100.0,0.0,6.315789473684211,84.26666666666667,100.0,63.7,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
SL 24,SUPPORT,74.77271428571429,69.93,0.5468188885263698,-1.639459198271847,23,5,,45.2,140,9.464285714285714,87.5,0.0,0.0,54.761904761904766,15.0,84.26666666666667,100.0,63.8,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
188,HEAD_TRUCK,74.65751231527094,77.20500000000001,0.26180777934245814,2.7084233376892173,60,3,,0.0,406,6.342364532019705,60.824742268041234,5.416846675378435,0.0,100.0,6.315789473684211,84.26666666666667,100.0,64.0,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
151,HEAD_TRUCK,78.52744597249509,79.2,0.24834964833103568,12.242554018881044,72,6,2025-05-05,100.0,509,5.893909626719057,46.391752577319586,24.48510803776209,60.0,0.0,6.315789473684211,84.26666666666667,100.0,64.3,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
152,HEAD_TRUCK,78.85948087431694,79.625,0.2506944383402025,7.744524339069918,52,4,,0.0,366,5.46448087431694,48.45360824742268,15.489048678139836,0.0,100.0,6.315789473684211,84.26666666666667,100.0,64.5,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
194,HEAD_TRUCK,71.24778656126482,72.2,0.2570162645177661,13.74458470216531,65,9,2025-12-03,47.6,506,5.8300395256917,55.670103092783506,27.48916940433062,12.0,52.38095238095239,6.315789473684211,84.26666666666667,100.0,64.5,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
31,RTGC,325.64816981132077,349.0,0.2024791401798095,-5.874452525188915,49,6,2026-03-20,100.0,530,3.6792452830188678,32.0,0.0,100.0,0.0,6.315789473684211,84.26666666666667,100.0,64.6,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
B 9015 UBE,KEND_OPS,32.119441860465116,30.64,0.22818883808141593,19.23144147842777,30,2,2026-03-11,100.0,215,5.6976744186046515,45.16129032258064,38.46288295685554,66.0,0.0,7.368421052631579,84.26666666666667,66.66666666666666,64.8,REVIEW,Bandingkan dengan hour meter dan log operasi (perubahan pola menetap terdeteksi)
180,HEAD_TRUCK,67.74695906432748,64.81,0.42758166197615316,-8.09439942154705,33,4,,61.9,171,9.502923976608187,96.90721649484536,0.0,0.0,38.095238095238095,6.315789473684211,84.26666666666667,100.0,64.9,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
48,RTGC,287.8011475409836,298.0,0.21841006632584622,10.467654414971182,52,5,2026-03-26,100.0,488,4.456967213114754,46.0,20.935308829942365,60.0,0.0,6.315789473684211,84.26666666666667,100.0,65.2,REVIEW,Koordinasikan inspeksi alat (anomali kritis berulang)
