equipment_category,equipment_id,first_seen_date,last_seen_date,n_records,n_valid_liter_records,id_variants,has_possible_variant,is_new_after_january
BUS,B 7697 TK,2025-01-01,2025-11-30,332,332,[],False,False
BUS,B 7963 TAA,2025-01-01,2026-07-20,557,557,[],False,False
BUS,B 7985 TAA,2025-12-01,2026-07-21,231,231,[],False,True
BUS,B 7987 TAA,2025-01-01,2026-07-20,563,563,[],False,False
COMPRESSOR,Compresor 06,2026-01-01,2026-06-24,91,91,[],False,False
ELF,B 7156 TAB,2025-01-01,2025-11-30,332,332,[],False,False
ELF,B 7157 TAB,2025-01-01,2025-11-30,332,332,[],False,False
ELF,B 7161 TAB,2025-01-01,2025-11-30,332,332,[],False,False
ELF,B 7941 TAA,2025-12-01,2026-03-29,60,60,[],False,True
ELF,B 7943 TAA,2025-12-01,2026-02-28,59,59,[],False,True
ELF,B 7962 TAA,2025-12-01,2026-03-29,59,58,[],False,True
HEAD_TRUCK,103,2025-08-11,2025-08-26,16,0,[],False,True
HEAD_TRUCK,104,2025-01-01,2026-04-08,375,375,[],False,False
HEAD_TRUCK,109,2025-01-06,2025-08-26,22,6,[],False,False
HEAD_TRUCK,118,2025-01-05,2026-06-17,44,44,[],False,False
HEAD_TRUCK,123,2025-08-11,2025-08-26,16,0,[],False,True
HEAD_TRUCK,128,2025-01-02,2026-07-20,499,499,[],False,False
HEAD_TRUCK,129,2025-03-22,2025-08-26,17,1,[],False,True
HEAD_TRUCK,131,2025-01-01,2026-07-20,513,513,[],False,False
HEAD_TRUCK,132,2025-01-01,2026-07-20,471,471,[],False,False
HEAD_TRUCK,133,2025-01-01,2026-07-20,510,510,[],False,False
HEAD_TRUCK,134,2025-01-01,2026-07-20,533,533,[],False,False
HEAD_TRUCK,135,2025-01-01,2026-07-20,505,505,[],False,False
HEAD_TRUCK,136,2025-01-01,2026-07-20,544,544,[],False,False
HEAD_TRUCK,137,2025-01-01,2026-07-20,527,527,[],False,False
HEAD_TRUCK,138,2025-01-01,2026-07-20,511,511,[],False,False
HEAD_TRUCK,139,2025-01-01,2026-07-20,528,528,[],False,False
