year,month,month_name,workbook_reported_total,recalculated_total,difference_liter,difference_percentage,validation_status
2025,1,Januari 2025,583525.03,583525.03,0.0,0.0,MATCH
2025,2,Februari 2025,496715.1,496715.1,0.0,0.0,MATCH
2025,3,Maret 2025,519177.85,551515.193,32337.342999999993,6.23,MAJOR DIFFERENCE
2025,4,April 2025,476547.16,512853.9,36306.74000000005,7.62,MAJOR DIFFERENCE
2025,5,Mei 2025,589333.61,583703.49,-5630.119999999995,-0.96,MINOR DIFFERENCE
2025,6,Juni 2025,543592.77,540551.45,-3041.320000000065,-0.56,MINOR DIFFERENCE
2025,7,Juli 2025,610094.5,610094.5,0.0,0.0,MATCH
2025,8,Agustus 2025,582489.38,582489.38,0.0,0.0,MATCH
2025,9,September 2025,557819.2,557819.2,0.0,0.0,MATCH
2025,10,Oktober 2025,595804.21,595804.21,0.0,0.0,MATCH
2025,11,November 2025,569075.5800000001,569075.58,-1.1641532182693481e-10,-0.0,MATCH
2025,12,Desember 2025,630984.23,630984.23,0.0,0.0,MATCH
2026,1,Januari 2026,564029.46,560870.72,-3158.7399999999907,-0.56,MINOR DIFFERENCE
2026,2,Februari 2026,547542.4,547542.41,0.010000000009313226,0.0,MATCH
2026,3,Maret 2026,556959.56,553944.431201,-3015.1287990000565,-0.54,MINOR DIFFERENCE
2026,4,April 2026,548378.75,544999.4,-3379.3499999999767,-0.62,MINOR DIFFERENCE
2026,5,Mei 2026,545505.79,542077.86,-3427.930000000051,-0.63,MINOR DIFFERENCE
2026,6,Juni 2026,535714.03,532323.216,-3390.814000000013,-0.63,MINOR DIFFERENCE
2026,7,Juli 2026,376340.64,374141.31,-2199.3300000000163,-0.58,MINOR DIFFERENCE
