year,month,month_name,equipment_category,workbook_reported_total,recalculated_total,difference_liter,difference_percentage,validation_status
2025,1,Januari 2025,BUS,4556.69,4556.69,0.0,0.0,MATCH
2025,1,Januari 2025,ELF,3223.39,3223.39,0.0,0.0,MATCH
2025,1,Januari 2025,HEAD_TRUCK,183572.9,183572.9,0.0,0.0,MATCH
2025,1,Januari 2025,KEND_OPS,6771.5199999999995,6771.52,9.094947017729282e-13,0.0,MATCH
2025,1,Januari 2025,MODUL,4002.5,4002.5,0.0,0.0,MATCH
2025,1,Januari 2025,RTGC,369577.89999999997,369577.9,5.820766091346741e-11,0.0,MATCH
2025,1,Januari 2025,SUPPORT,11820.130000000001,11820.13,-1.8189894035458565e-12,-0.0,MATCH
2025,2,Februari 2025,BUS,3991.79,3991.79,0.0,0.0,MATCH
2025,2,Februari 2025,ELF,2894.14,2894.14,0.0,0.0,MATCH
2025,2,Februari 2025,HEAD_TRUCK,155153.2,155153.2,0.0,0.0,MATCH
2025,2,Februari 2025,KEND_OPS,5890.7,5890.7,0.0,0.0,MATCH
2025,2,Februari 2025,MODUL,2000.0,2000.0,0.0,0.0,MATCH
2025,2,Februari 2025,RTGC,317356.70999999996,317356.71,5.820766091346741e-11,0.0,MATCH
2025,2,Februari 2025,SUPPORT,9428.56,9428.56,0.0,0.0,MATCH
2025,3,Maret 2025,BUS,4130.33,4413.16,282.8299999999999,6.85,MAJOR DIFFERENCE
2025,3,Maret 2025,ELF,3046.43,3251.98,205.55000000000018,6.75,MAJOR DIFFERENCE
2025,3,Maret 2025,HEAD_TRUCK,157164.63999999998,167627.62,10462.98000000001,6.66,MAJOR DIFFERENCE
2025,3,Maret 2025,KEND_OPS,5631.0,6108.44,477.4399999999996,8.48,MAJOR DIFFERENCE
2025,3,Maret 2025,MODUL,0.0,0.0,0.0,,NO_WORKBOOK_VALUE
2025,3,Maret 2025,RTGC,340622.89999999997,360839.00299999997,20216.103000000003,5.94,MAJOR DIFFERENCE
2025,3,Maret 2025,SUPPORT,8582.550000000001,9274.99,692.4399999999987,8.07,MAJOR DIFFERENCE
2025,4,April 2025,BUS,4076.64,4366.51,289.87000000000035,7.11,MAJOR DIFFERENCE
2025,4,April 2025,ELF,2975.39,3200.38,224.99000000000024,7.56,MAJOR DIFFERENCE
2025,4,April 2025,HEAD_TRUCK,155764.78999999998,165604.52,9839.73000000001,6.32,MAJOR DIFFERENCE
2025,4,April 2025,KEND_OPS,5284.92,5711.25,426.3299999999999,8.07,MAJOR DIFFERENCE
2025,4,April 2025,MODUL,0.0,0.0,0.0,,NO_WORKBOOK_VALUE
2025,4,April 2025,RTGC,299161.2,323704.7,24543.5,8.2,MAJOR DIFFERENCE
2025,4,April 2025,SUPPORT,9284.22,10266.54,982.3200000000015,10.58,REQUIRES REVIEW
2025,5,Mei 2025,BUS,4604.71,4460.57,-144.14000000000033,-3.13,MAJOR DIFFERENCE
2025,5,Mei 2025,ELF,3275.94,3179.46,-96.48000000000002,-2.95,MINOR DIFFERENCE
2025,5,Mei 2025,HEAD_TRUCK,181472.69999999998,181472.7,2.9103830456733704e-11,0.0,MATCH
