priority,equipment_id,equipment_category,finding,evidence,recommended_action,responsible_role,target_date,status
HIGH,177,HEAD_TRUCK,"Health score rendah, disertai anomali kritis berulang dan tren konsumsi naik.","health_score=44.1, critical_anomaly_count=5, trend_percentage=22.6%",Prioritas tinggi untuk validasi data dan inspeksi operasional.,Maintenance,2026-07-30,OPEN
HIGH,178,HEAD_TRUCK,"Health score rendah, disertai anomali kritis berulang dan tren konsumsi naik.","health_score=47.5, critical_anomaly_count=6, trend_percentage=21.0%",Prioritas tinggi untuk validasi data dan inspeksi operasional.,Maintenance,2026-07-30,OPEN
HIGH,181,HEAD_TRUCK,"Health score rendah, disertai anomali kritis berulang dan tren konsumsi naik.","health_score=45.4, critical_anomaly_count=11, trend_percentage=18.1%",Prioritas tinggi untuk validasi data dan inspeksi operasional.,Maintenance,2026-07-30,OPEN
HIGH,ARMADA (seluruh alat),ALL,Proyeksi konsumsi Business-as-Usual melebihi target penghematan tahunan.,"gap_to_target=1,400,548 L, required_daily_reduction=3,837.1 L/hari","Diperlukan pengurangan rata-rata 3,837.1 liter per hari untuk mencapai target penghematan tahunan.",Supervisor,2026-07-30,OPEN
HIGH,B 9621 TVC,KEND_OPS,"Health score rendah, disertai anomali kritis berulang dan tren konsumsi naik.","health_score=37.4, critical_anomaly_count=17, trend_percentage=133.9%",Prioritas tinggi untuk validasi data dan inspeksi operasional.,Maintenance,2026-07-30,OPEN
HIGH,SL 03,SUPPORT,"Health score rendah, disertai anomali kritis berulang dan tren konsumsi naik.","health_score=27.9, critical_anomaly_count=26, trend_percentage=46.3%",Prioritas tinggi untuk validasi data dan inspeksi operasional.,Maintenance,2026-07-30,OPEN
MEDIUM,104,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=100.0, last_change_point=2025-03-09 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,11,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=69.0, last_change_point=2026-04-21 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,118,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=8, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,132,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=61, data_completeness=16.7%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
